序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
405,2021,8,14,25544.39,39,5933.07,1172.84,12,1067.98,,,
406,2021,8,13,123696.6,690,83451.13,15876.17,157,14001.27,,,
407,2021,8,12,134503.66,696,88235.95,16982.4,152,14160.48,,,
408,2021,8,11,135671.38,779,95057.64,19453.39,173,16343.16,,,
409,2021,8,10,156879.09,815,16627.93,16627.93,142,14333.68,,,
410,2021,8,9,211132.06,1193,16085.67,1526.31,149,14314.76,,,
411,2021,8,8,17214.16,28,2887.33,,,,,,
412,2021,8,7,41018.88,36,4644.14,1526.31,14,1440.99,,,
413,2021,8,6,158311.51,826,105749.27,19192.27,166,16766.3,,,
414,2021,8,5,143961.64,872,109714.3,19375.01,150,16601.45,,,
415,2021,8,4,136301.79,831,104426.15,14660.9,129,12739.18,,,
416,2021,8,3,147557.95,602,79736.74,17664.68,146,14711.17,,,
417,2021,8,2,93890.68,393,47268.8,16056.21,146,13542.83,,,
418,2021,8,1,21301.25,26,2898.92,,,,,,
419,2021,7,31,50105.73,153,17243.99,2189.18,15,1945.76,,,
420,2021,7,30,112230.49,539,63338.47,13638.87,121,12217.93,,,
421,2021,7,29,106775.57,563,64761.96,12570.82,119,10974.98,,,
422,2021,7,28,101244.5,486,54810.35,14151.76,122,11900.96,,,
423,2021,7,27,124323.36,557,65892.69,19971.92,185,18014.38,,,
424,2021,7,26,109140.53,550,65830.13,23144.25,197,19738.84,,,
425,2021,7,25,13410.56,28,2664.12,,,,,,
426,2021,7,24,21105.73,37,3726.68,1771.25,18,1614.09,,,
427,2021,7,23,93176.5,431,52198.36,18459.7,166,16066.01,,,
428,2021,7,22,123095.51,525,63421.42,17705.73,148,14428.3,,,
429,2021,7,21,119752.64,724,81072.6,17875.93,173,15999.19,,,
430,2021,7,20,89959.34,417,48780.64,20296.64,167,15552.75,,,
431,2021,7,19,163572.43,985,130594.39,22644.21,189,18766.25,,,
432,2021,7,18,23536.22,86,10512.1,,,,,,
433,2021,7,17,37165.91,77,9057.48,3232.01,26,2901.12,,,
434,2021,7,16,230275.49,1449,187202.43,18794.56,161,15833.84,,,
435,2021,7,15,179707.61,1004,136845.69,20748.97,172,17070.32,,,
436,2021,7,14,194970.63,962,134331.61,17767.69,143,14280.45,,,
437,2021,7,13,134029.55,721,91392.14,21904,160,16094.43,,,
438,2021,7,12,120969.02,698,88155.85,20498.05,171,15992.32,,,
439,2021,7,11,17708.13,39,4150.93,,,,,,
440,2021,7,10,18794.67,34,3469.32,2910.31,23,2623.83,,,
441,2021,7,9,145126.17,793,98087.62,19382.22,157,16564.25,,,
442,2021,7,8,129064.69,786,90590.37,19869.55,139,14466.12,,,
443,2021,7,7,111720.4,633,76283.48,17486.05,155,15045.77,,,
444,2021,7,6,164028.39,872,114715.88,15609.08,133,12509.61,,,
445,2021,7,5,218049.55,1332,162246.1,18496.34,169,15225.14,,,
446,2021,7,4,16336.56,45,4503.95,,,,,,
447,2021,7,3,39365.94,65,7613.38,3109.19,18,2046.62,,,
448,2021,7,2,227783.13,1149,144744.92,16786.03,148,14621.37,,,
449,2021,7,1,183202.53,883,113932.77,26316.01,163,17281.97,,,
450,2021,6,30,202209.13,997,121141.23,13886.13,125,11382.21,,,
451,2021,6,28,146368.54,727,91937.14,18722.89,164,15097.19,,,
452,2021,6,27,19258.69,56,6012.54,,,,,,
453,2021,6,26,23899.95,66,7407.01,2075.71,18,1915.76,,,
454,2021,6,25,128346.21,720,83145.55,22185.33,140,14224.72,,,
455,2021,6,24,107409.1,580,67121.34,18148.79,151,14481.38,,,
456,2021,6,23,136647.17,659,81583.17,21544.9,190,17975.62,,,
457,2021,6,22,129328.17,615,73536.38,17903.47,170,15449.89,,,
458,2021,6,21,112137.85,628,76300.8,23903.32,196,19498.47,,,
459,2021,6,20,18786.45,20,2091.36,,,,,,
460,2021,6,19,28296.44,50,6487.1,1112.52,12,1047.14,,,
461,2021,6,18,133952.52,759,88069.22,20165.78,181,18163.65,,,
462,2021,6,17,146664.89,803,102992.16,24296.96,162,16111.73,,,
463,2021,6,16,137779.94,701,86304.53,20169.59,176,17027,,,
464,2021,6,15,226522.04,823,100690.44,24792.57,216,21091.38,,,
465,2021,6,15,226522.04,823,100690.44,24792.57,216,21091.38,,,
466,2021,6,14,14007.68,27,3057.12,,,,,,
467,2021,6,13,16951.86,25,2804.23,,,,,,
468,2021,6,12,23008.93,37,4281.25,,,,,,
469,2021,6,11,112705.44,624,75749.4,18977.4,173,17018.19,,,
470,2021,6,10,123237.41,630,76805.8,19865.04,140,13252.7,,,
471,2021,6,9,131990.23,773,91418.31,23682.83,184,20184.19,,,
472,2021,6,8,136232.04,763,94676.91,18334.61,164,15056.18,,,
473,2021,6,7,139772.1,815,100812.89,23745.58,216,20071.06,,,
474,2021,6,6,17045.95,52,5130.9,,,,,,
475,2021,6,5,14193.84,30,3508.52,1926.76,18,1926.76,,,
476,2021,6,4,143949.82,827,100014.93,23302.01,195,20009.45,,,
477,2021,6,3,184411.12,1182,145212.71,21131.17,170,17463.34,,,
478,2021,6,2,162891.08,994,125618.29,22865.79,175,16543.67,,,
479,2021,6,1,102929.88,516,57694.07,18201.28,162,15767.31,,,
480,2021,5,31,127921.86,804,97012.69,14317.27,141,12529.05,,,
481,2021,5,30,19751.52,31,3413.4,,,,,,
482,2021,5,29,20870.36,77,7974.13,2724.65,24,2612.31,,,
483,2021,5,28,121314.42,614,70717.56,30275.82,196,19608.32,,,
484,2021,5,27,71618.06,452,51128.99,15653.44,129,13220.67,,,
485,2021,5,26,16472.22,110,12206.44,1034.72,12,933.81,,,
486,2021,5,19,103132.69,581,68554.4,14489.53,136,12834.43,,,
487,2021,5,18,122563.12,771,92067.37,19065.78,174,16680.31,,,
488,2021,5,17,121896.46,728,91632.96,31912.87,210,20659.39,,,
489,2021,5,16,14869.83,83,8206.94,,,,,,
490,2021,5,15,24548.84,110,10804.75,2285.1,19,1753.33,,,
491,2021,5,14,107934.15,623,77086.75,19375.35,176,17129.75,,,
492,2021,5,13,104403.35,618,75545.66,19300.38,177,16007.95,,,
493,2021,5,12,149402.79,726,87224.02,20605.81,176,16886.06,,,
494,2021,5,11,134137.99,808,101623.83,21820.46,166,16179.23,,,
495,2021,5,10,127176.01,741,96698.13,21677.4,197,18652.35,,,
496,2021,5,9,17650.8,65,6743.2,77.03,1,77.03,,,
497,2021,5,8,126894.8,659,79928.49,17954.46,170,15691.98,,,
498,2021,5,7,130593.16,835,106707.14,25914.84,205,20240.54,,,
499,2021,5,6,248520.64,1668,223600.73,22021.98,196,18903.95,,,
500,2021,5,5,21933.49,28,3266.18,0,0,0,,,
501,2021,5,4,13068.29,28,2757.86,0,0,0,,,
502,2021,5,3,7059.21,3,311.52,0,0,0,,,
503,2021,5,2,6985.6,26,2905.73,0,0,0,,,
504,2021,5,1,10960.77,36,3653.78,0,0,0,,,
505,2021,4,30,108335.8,574,71227.55,18028.76,160,15409.88,,,
506,2021,4,29,102758.71,592,71267.32,19699,182,18071.15,,,
507,2021,4,28,126015.47,497,57994.65,24533.03,163,16831.37,,,
508,2021,4,27,94831.88,552,66570.61,25954.41,215,21274.46,,,
509,2021,4,26,103060.46,656,75333.05,22260.98,183,18737.27,,,
510,2021,4,25,124976.09,840,106292.06,17957.1,150,14987.81,,,
511,2021,4,24,15256.87,50,5340.67,0,,,,,
512,2021,4,23,141472.96,870,106408.4,23648.55,216,20988.5,,,
513,2021,4,22,113828.09,614,76894.94,24102.33,178,16381.75,,,
514,2021,4,21,125331.03,747,90313.6,21802.74,195,18627.1,,,
515,2021,4,20,106518.7,649,76447.98,21222,191,18219.26,,,
516,2021,4,19,157874.07,868,109846.15,24127.25,227,21092.94,,,
517,2021,4,18,12061.76,34,2911.18,,,,,,
518,2021,4,17,14421.27,85,8158.29,2179.94,20,2042.86,,,
519,2021,4,16,141072.59,887,114118.09,22962.78,187,17159.85,,,
520,2021,4,15,198053.89,1155,152412.22,20839.73,186,18111.05,,,
521,2021,4,14,136097.9,720,93503.06,27951.97,193,18231.42,,,
522,2021,4,13,149958.81,858,113660.44,48627.45,180,18031.8,,,
523,2021,4,12,216865.93,1445,188418.65,19567.54,168,17096.88,,,
524,2021,4,11,15220.54,27,2487.08,,,,,,
525,2021,4,10,13184.77,43,5021.7,1793.98,18,1654.29,,,
526,2021,4,9,182744.32,911,117575.47,23291.68,199,19649.09,,,
527,2021,4,8,153453.65,1009,127552.77,26020.21,182,18784.4,,,
528,2021,4,7,154848.11,1005,130137.06,20422.17,184,17851.06,,,
529,2021,4,6,252476.81,1616,227450.91,26471.2,233,21537.91,,,
530,2021,4,5,9185.03,24,2632.68,,,,,,
531,2021,4,4,9367.65,19,1955.47,,,,,,
532,2021,4,3,15402.13,38,4186.45,0,4,3,,,
533,2021,4,2,334412.47,2187,301285.92,23021.21,170,16530.99,,,
534,2021,4,1,116550.98,585,74600.02,21506.19,189,17137.4,,,
535,2021,3,31,127052.59,737,93006.41,21083.02,179,17148.6,,,
536,2021,3,30,176904.66,1022,131698.38,19807.05,188,17593.11,,,
538,2021,3,29,202526.08,1331,178478.13,25892.77,205,20101.11,,,
539,2021,3,28,20174.65,36,4282.27,,,,,,
540,2021,3,27,21485.61,96,11600.35,2426.86,23,2034.19,,,
541,2021,3,26,109506.08,764,92101.58,22159.31,209,17941.51,,,
542,2021,3,25,172397.4,1075,139857.98,22829.79,180,18152.29,,,
543,2021,3,24,239135.99,1510,203724.25,23634.43,191,19425.95,,,
544,2021,3,23,162848.43,979,128322.93,21137.44,177,17704.16,,,
545,2021,3,22,136990.63,937,110132.44,25080.55,185,18621.57,,,
547,2021,3,21,8447.35,14,1662.06,,,,,,
548,2021,3,20,11545.52,39,4509.69,2609.58,26,2355.97,,,
549,2021,3,19,96836.21,701,76478.71,22024.15,207,19361.23,,,
550,2021,3,18,145205.82,779,95063.1,23028.2,203,19997.79,,,
551,2021,3,17,108662.37,678,82004.7,22447.38,201,20157.46,,,
552,2021,3,16,110872.06,684,83379.91,22585.47,187,18489.35,,,
553,2021,3,15,182754.9,1244,161083.53,21071.07,179,17123.19,,,
554,2021,3,14,17346.6,21,2317.16,,,,,,
555,2021,3,13,17967.98,44,5325.17,4263.53,41,4039.03,,,
556,2021,3,12,112547.05,704,88388.39,21429.5,195,19451.83,,,
557,2021,3,11,135444.58,629,82212.92,23542.14,207,18946.93,,,
558,2021,3,10,136460.23,870,107876.72,22138.19,192,18549.05,,,
559,2021,3,9,128842.83,764,99081.27,21809.68,203,18559.18,,,
560,2021,3,8,102413.13,588,76205.31,18758.43,173,16374.71,,,
562,2021,3,7,17788.27,40,4150.96,,,,,,
563,2021,3,6,19875.27,65,7588.54,4072.58,38,3796.85,,,
564,2021,3,5,93360.62,542,65008.18,19919.64,183,16334.66,,,
565,2021,3,4,151984.99,1030,126923.24,21989.26,206,19068.67,,,
566,2021,3,3,99493.22,613,77896.17,21576.18,182,18970.51,,,
567,2021,3,2,157216.04,900,119049.57,17636,175,15500.09,,,
568,2021,3,1,105927.4,660,76100.56,24335.41,207,19691.25,,,
570,2021,2,28,11676.77,17,1755.73,,,,,,
571,2021,2,27,29138.24,154,20728.23,2042.98,18,1894.53,,,
572,2021,2,26,71159.07,400,47029.98,16136.32,158,14947,,,
573,2021,2,25,94008.14,508,57660.04,19456.84,177,16843.81,,,
574,2021,2,24,111837.96,725,86985.66,18609.74,169,16340.74,,,
575,2021,2,23,86578.28,479,59829.87,19290.11,178,17388.34,,,
576,2021,2,22,99283.37,538,65070.58,20127.45,194,18697.03,,,
577,2021,2,21,17948.86,53,5725.53,0,2,21,,,
578,2021,2,20,46623.94,308,34367.86,18608.02,149,14342.59,,,
579,2021,2,19,59694.72,366,43835.93,19426.43,175,17104.95,,,
580,2021,2,18,34776.93,213,23772.43,12461.32,109,11110.86,,,
581,2021,2,17,6115.74,3,352.92,0,,,,,
582,2021,2,10,68809.8,422,62128.7,5705.55,58,5049.56,,,
583,2021,2,9,82405.63,546,71479.04,13258.77,109,10775.61,,,
584,2021,2,8,104646.78,654,84389.51,17914.08,141,14422.93,,,
585,2021,2,7,115961.01,714,93160.41,19232.07,119,11696.09,,,
586,2021,2,6,25766.64,30,3239.24,0,2,6,,,
587,2021,2,5,114172,627,85243.5,15940.38,151,14295.72,,,
588,2021,2,4,142692.77,928,117739.32,16190.73,141,13867.2,,,
589,2021,2,3,168401.45,1135,143438.9,19584.84,168,17194.32,,,
590,2021,2,2,211520.16,1251,168064.3,33130.12,179,16534.05,,,
591,2021,2,1,169923.78,1124,140895.69,21109.81,182,19049.46,,,
592,2021,1,31,23674.85,26,2711.82,,,,,,
593,2021,1,30,23959.03,63,7699.33,2919.74,27,2854.85,,,
594,2021,1,29,121063.57,621,78331.96,15425.85,129,12641.87,,,
595,2021,1,28,116632.3,655,81977.76,21817.67,179,17964.17,,,
596,2021,1,27,204445.75,1171,145008.49,18228.16,153,14961.27,,,
597,2021,1,26,124858.42,679,82473.44,31621.52,196,18526.93,,,
598,2021,1,25,146982.68,788,100007.75,19915.46,159,15853.17,,,
599,2021,1,24,8479.17,19,1971.69,,,,,,
600,2021,1,23,15866.18,23,2842.98,3559.23,27,3358.02,,,
601,2021,1,21,142367.15,961,120347.87,15843.79,145,13462.79,,,
602,2021,1,16,12878.86,49,5259.69,798.47,9,690.32,,,
603,2021,1,16,12878.86,49,5259.69,798.47,9,690.32,,,
604,2021,1,15,107023.45,691,81212.64,21331.48,155,15167.76,,,
605,2021,1,14,113527.86,595,71648.62,18629.9,165,16118.5,,,
606,2021,1,13,129600.12,783,89804.43,21738.45,185,19416.61,,,
607,2021,1,12,129055.34,751,87936.22,17531.19,147,13775.98,,,
608,2021,1,11,146854.99,959,114534.09,19446.31,172,16647.12,,,
609,2021,1,10,13846.37,43,4305.05,,,,,,
610,2021,1,9,17679.47,52,5836.26,2140.85,19,1743.61,,,
611,2021,1,8,149405.04,858,109375.76,17455.79,140,13942.78,,,
612,2021,1,7,113746.6,699,80983.02,21768.04,151,15048.46,,,
613,2021,1,6,161732.26,968,125599.03,40489.44,154,16649.12,,,
614,2021,1,5,149224.29,886,109917.91,21047.28,182,17889,,,
615,2021,1,4,240018.55,1300,185123.52,24127.71,140,12813.32,,,
616,2021,1,3,8022.65,17,2098.43,0,,,,,
617,2021,1,2,37001.91,16,1761.15,0,,,,,
618,2021,1,1,10467.69,26,2847.79,0,,,,,
619,2020,12,31,122085.53,656,82761.49,26381.34,102,9487.89,,,
620,2020,12,30,147937.81,675,82634.22,15839.03,137,13525.01,,,
621,2020,12,29,128301.95,733,87358.33,20035,146,14183.69,,,
622,2020,12,28,117575.89,658,81756.74,18011.01,132,13488.93,,,
623,2020,12,27,29230.88,13,1381.64,,,,,,
624,2020,12,25,98469.07,539,62312.58,24568.16,177,16953.86,,,
625,2020,12,24,74887.76,450,51424.72,20131.03,170,16126.47,,,
626,2020,12,23,104703.47,597,71264.37,18609.67,163,15170.79,,,
627,2020,12,22,89339.64,491,55823.65,21861.3,198,19018.85,,,
628,2020,12,21,113088.2,642,76845.36,21636.8,181,17324.85,,,
629,2020,12,20,20404.77,30,3596.12,,,,,,
630,2020,12,19,24856.4,47,5358.22,3459.38,24,2869.15,,,
631,2020,12,18,90992.85,479,57866.42,22742.53,159,17424.1,,,
632,2020,12,17,130281,609,71495.81,22205.54,206,19775.72,,,
633,2020,12,16,87823.29,426,53340.62,18089.78,159,15315.57,,,
634,2020,12,15,121988.24,483,60379.47,18477.92,149,13663.44,,,
635,2020,12,14,127961.18,746,96895.72,17108.99,151,14944.83,,,
636,2020,12,13,12873.4,13,1482.58,,,,,,
637,2020,12,11,18534.27,42,4932.14,3108.65,26,2841.77,,,
638,2020,12,11,119990.65,746,87862.14,19427.81,173,16823.89,,,
639,2020,12,10,101467.91,520,64606.43,19665.04,171,16493.76,,,
640,2020,12,9,79691.73,452,53362.07,24781.85,149,15000,,,
641,2020,12,8,73935.33,353,42291.96,15795.92,144,13567.88,,,
642,2020,12,7,134801.64,771,96409.04,22945.09,206,20047.47,,,
643,2020,12,6,21992.81,68,7473.43,0,12,6,,,
644,2020,12,5,16709.01,41,4903.32,1928.17,17,1752.88,,,
645,2020,12,4,95111.18,521,63123.26,23652.43,121,11022.15,,,
646,2020,12,3,123516.42,826,97914.09,23273.93,150,14404.93,,,
647,2020,12,2,210941.19,1313,174795.36,20171.42,157,15987.3,,,
648,2020,12,1,139367.53,815,95624.5,14120.35,134,12305.97,,,
649,2020,11,30,5895.23,48,5411.21,389.19,3,310.73,,,
650,2020,11,28,16570.41,36,4417.02,2881.96,17,1891.96,,,
651,2020,11,27,103512.19,593,71119.07,10740.14,76,8094.17,,,
652,2020,11,26,100531.39,579,69939.44,21146.94,176,17611.54,,,
653,2020,11,25,94181.13,514,61401.66,22377.27,208,20080.55,,,
654,2020,11,24,89913.24,551,21429.06,21429.06,168,16577.41,,,
655,2020,11,23,119359.91,625,73264.15,16899.22,143,14835.49,,,
656,2020,11,22,14937.95,45,5641.1,,,,,,
657,2020,11,21,15815.51,49,5509.1,2845.54,19,2459.21,,,
658,2020,11,20,106805.13,578,68342.08,21914.02,165,16787.75,,,
659,2020,11,19,130477.74,731,91679.91,21058.82,184,18249.97,,,
660,2020,11,18,109070.58,678,80363.49,22773.57,168,15632.29,,,
661,2020,11,17,104352.42,629,74457.91,20506.03,193,17724.09,,,
662,2020,11,16,121951.66,788,97840.2,19714.07,180,17151.36,,,
663,2020,11,15,10205.34,14,1525.31,,,,,,
664,2020,11,14,17765.18,63,6913.04,2555.87,24,2452.91,,,
665,2020,11,13,119572.07,688,84626.67,17032.66,155,14475.3,,,
666,2020,11,12,185437.23,1045,123164.13,21203.66,186,17638.22,,,
667,2020,11,11,156095.96,839,96965.87,28190.46,172,15823.01,,,
668,2020,11,10,145316.53,892,106462,22652.79,170,16964.51,,,
669,2020,11,9,168809.14,912,120179.46,20750.52,189,18131.27,,,
670,2020,11,8,12130.69,39,4140.36,,,,,,
671,2020,11,7,14200.3,46,5182.93,3839,30,3297.48,,,
672,2020,11,6,127227.79,768,95030.9,22158.94,168,15981,,,
673,2020,11,5,161059.41,779,95854.84,17616.37,147,15658.86,,,
674,2020,11,4,122000.04,703,81161.32,29266.11,156,14816.67,,,
675,2020,11,3,191536.96,1256,142099.05,20860.11,167,15871.67,,,
676,2020,11,2,71381.64,336,43190.99,4581.62,40,4093.13,,,
677,2020,11,1,25357.49,41,4757.69,,,,,,
678,2020,10,31,21085.99,61,6844.58,2660.03,26,2440.46,,,
679,2020,10,30,131272.97,647,78815.14,18185.88,161,15700.97,,,
680,2020,10,29,106868.71,588,72257.16,16561.55,147,14603.99,,,
681,2020,10,28,114098.58,671,80799.89,19628.38,153,15808.93,,,
682,2020,10,27,141936.74,912,107153.82,22529.87,185,19717.21,,,
683,2020,10,26,160132.47,914,112611.4,21906.3,183,17639.38,,,
684,2020,10,25,15800.87,50,5716.67,25,50,,,,
685,2020,10,24,20335.47,68,7213.19,3125.43,29,2763.56,,,
686,2020,10,23,128352.91,708,85179.62,20421.38,170,16969.98,,,
687,2020,10,22,139549.92,852,97316.91,41050.87,180,17548.02,,,
688,2020,10,21,125098.39,795,94471.84,18929.04,173,16344.25,,,
689,2020,10,20,88885.14,483,57648.13,25188.07,207,20031.46,,,
690,2020,10,19,144062.9,848,108226.16,24822.5,223,22296.78,,,
691,2020,10,18,17193.72,44,4359.91,,,,,,
692,2020,10,17,18333.45,48,4979.86,4278.66,44,4090.36,,,
693,2020,10,16,121420.32,739,92336.94,23705.86,209,20416.83,,,
694,2020,10,15,156534.77,1003,118050.29,27267.02,174,17129.44,,,
695,2020,10,14,9469.68,16,2300.95,2639.92,22,2346.1,,,
696,2020,10,13,62213.95,368,47544.72,21850.02,178,17497.14,,,
697,2020,10,12,19949.62,55,7362.41,4556.1,33,3471.24,,,
698,2020,9,30,147822.22,855,104161.61,19280.36,190,17400.46,,,
699,2020,9,29,208975.95,1352,169610.39,20987.1,178,17990.54,,,
700,2020,9,28,127416.87,845,99743.62,22581.57,194,19793.09,,,
701,2020,9,27,141913.66,883,109921.57,20309.72,183,17279.66,,,
702,2020,9,26,22412.03,107,11653.52,,,,,,
703,2020,9,25,131924.37,798,98757.36,22163.8,198,18616.15,,,
704,2020,9,24,144493.85,834,99103.14,21805.05,171,16584.14,,,
705,2020,9,23,141464.75,843,104275.84,20373.53,175,16245.36,,,
706,2020,9,22,142772.29,899,106786.39,18263.96,172,15696.42,,,
707,2020,9,21,147930.31,842,102398.09,20094.05,182,17685.14,,,
708,2020,9,20,18690.65,78,8701.94,,,,,,
709,2020,9,19,36510.15,151,16954.28,4017.78,35,3505.8,,,
710,2020,9,18,157132.52,1043,122172.45,14417.88,119,11315.19,,,
711,2020,9,17,142437.71,877,104600.91,23274,184,17774.5,,,
712,2020,9,16,162508.91,795,92714.93,17996.64,156,14154.88,,,
713,2020,9,15,113563.57,696,80725.08,16466.96,143,13817.26,,,
714,2020,9,14,120123.88,723,91070.51,25948.14,231,21998.04,,,
715,2020,9,13,14908.44,48,5311.69,,,,,,
716,2020,9,12,18130.02,83,9186.12,4923.58,42,4528.17,,,
717,2020,9,11,104277.74,663,83255.01,20990.7,201,18341.7,,,
718,2020,9,9,132391.7,746,94896.28,19953.52,179,17522.42,,,
719,2020,9,9,137782.64,833,104096.78,20108.5,169,17350.14,,,
720,2020,9,8,107829.86,688,85222.44,21536.54,203,18612.21,,,
721,2020,9,7,156787.47,1008,132080.1,24765.74,229,21892.76,,,
722,2020,9,6,18413.7,51,5761.84,,,,,,
723,2020,9,5,12507.88,27,2865.79,5173.62,48,4951.06,,,
724,2020,9,4,137058.96,794,99534.86,21605.15,196,19381.16,,,
725,2020,9,3,131955.62,740,93853.95,23384.15,197,17668.94,,,
726,2020,9,2,151687.47,962,124093.26,20843.31,187,17168.46,,,
727,2020,9,1,146940.9,927,111505.82,15000.93,117,12166.9,,,
728,2020,8,31,100563.28,595,70571.17,17617.83,168,15586,,,
729,2020,8,30,15661.17,29,3314.96,,,,,,
730,2020,8,29,23843.03,114,12532.13,4664.01,47,4394.26,,,
731,2020,8,28,97707.73,565,66736.28,21527.02,176,17185.38,,,
732,2020,8,27,103857.4,648,77746.34,22320.34,197,18872.31,,,
733,2020,8,26,130979.33,770,89444.27,26800.97,227,22149.83,,,
734,2020,8,25,110580.86,750,87627.31,25093.67,209,87627.31,,,
735,2020,8,24,127419.91,818,101928.42,22436.03,167,17292.19,,,
736,2020,8,23,14964.86,4366.76,53,,,,,,
737,2020,8,22,21539.63,111,12466.25,4365.34,43,4081.82,,,
738,2020,8,20,127521.82,803,99944.71,24359.39,218,20883.62,,,
739,2020,8,20,123456.51,762,90956.12,21175.13,203,18781.4,,,
740,2020,8,19,106906.84,676,86136.18,17789.58,160,15951.19,,,
741,2020,8,18,134215.2,741,95162.35,24705.63,188,18134.83,,,
742,2020,8,17,139965.94,907,115483.33,18522.19,151,15317.88,,,
743,2020,8,16,12640.48,50,5315.73,,,,,,
744,2020,8,15,26355.72,88,8978.95,4361.92,40,4078.92,,,
745,2020,8,14,127804.05,805,103540.85,27272.51,230,22139.91,,,
746,2020,8,13,181221.04,1209,149649.41,22648.28,204,19479.13,,,
747,2020,8,12,217648.67,1479,189406.44,21501.18,195,18912.63,,,
748,2020,8,11,139671.87,853,110100.71,18864.86,168,16004.41,,,
749,2020,8,10,142414.92,921,112101.73,31138.86,234,22052.94,,,
750,2020,8,9,29077.97,54,5309.24,,,,,,
751,2020,8,8,28115.23,126,14405.47,6489.84,52,5876.48,,,
752,2020,8,7,168817.44,1165,137844.93,19774.21,194,17631.78,,,
753,2020,8,6,136885.92,746,91445.64,38031.15,173,17745.14,,,
754,2020,8,5,158390.32,989,123197.3,24921.76,219,22356.06,,,
755,2020,8,4,137268.97,846,103171.55,23276.23,215,20848.08,,,
756,2020,8,3,194002.92,1220,163266.47,23083.91,188,18239.6,,,
757,2020,8,2,18558.14,41,4843.21,,,,,,
758,2020,8,1,19102.59,55,6100.61,6448.05,58,6061.44,,,
759,2020,7,31,73088.3,367,43359.75,11204.7,100,9470.88,,,
760,2020,7,30,113764.67,618,74639.82,21274.96,166,16480.21,,,
761,2020,7,29,82052.45,502,59123.61,20802.77,176,16940.47,,,
762,2020,7,28,80330.09,465,57855.63,21110.77,170,16170.35,,,
763,2020,7,27,102670.82,527,65558.37,22835.3,149,14117.56,,,
764,2020,7,26,15788.29,47,5122.93,,,,,,
765,2020,7,25,12785.53,28,2926.66,3604.49,34,3361.94,,,
766,2020,7,24,110686.15,587,71500.16,25445.8,217,21915.7,,,
767,2020,7,23,98239.99,535,62761.59,25439.74,239,23152.49,,,
768,2020,7,22,100614.51,615,70831.99,28668.84,233,24347.69,,,
769,2020,7,21,92977.99,518,61337.99,20970.75,184,18271.01,,,
770,2020,7,20,163277.16,1001,129111.11,27831.26,248,24186.33,,,
771,2020,7,19,16528.96,66,6994.23,,,,,,
772,2020,7,18,19160.19,58,6577.32,5404.96,47,5038.03,,,
773,2020,7,17,153776.11,916,117214.02,27727.94,232,23927.59,,,
774,2020,7,16,138215.13,840,101186.92,28171.66,212,19759.31,,,
775,2020,7,15,112513.6,722,87170.22,24810.4,208,20685.97,,,
776,2020,7,14,127222.83,862,103926.24,18679.38,174,17257.56,,,
777,2020,7,13,94929.66,600,76037.57,32035.68,228,23248.45,,,
778,2020,7,12,18381.21,36,4083.51,,,,,,
779,2020,7,11,25774.77,53,5514.34,6633.6,55,6049,,,
780,2020,7,10,135097.37,820,98024.1,23827.2,218,21764.35,,,
781,2020,7,9,160849.76,1035,129325.64,25854.45,227,21954.11,,,
782,2020,7,8,112104.44,623,83723.98,45908.32,220,21163.45,,,
783,2020,7,7,124877.12,712,93941.05,29378.37,246,24311.6,,,
784,2020,7,6,138938.06,862,108781.64,29465.51,237,22743.11,,,
785,2020,7,5,11273.38,20,2199.47,,,,,,
786,2020,7,4,20818.88,110,12371.45,6032.09,61,5858.46,,,
787,2020,7,3,139670.41,829,109422.82,29600.16,252,26748.05,,,
788,2020,7,2,216188.17,1300,178260.7,26007.09,219,22060.89,,,
789,2020,7,1,76804.28,383,45962.35,28241.6,233,22622.18,,,
790,2020,6,30,145072.98,468,57993.66,29048.93,221,21520.48,,,
791,2020,6,29,89257.19,536,60941.67,29320.86,262,25328.86,,,
792,2020,6,28,90359.12,563,64014.66,26532.1,245,22544.63,,,
793,2020,6,27,20381.32,35,3713.57,0,0,0,,,
794,2020,6,26,12140.76,35,3888.58,0,0,0,,,
795,2020,6,24,118029.32,705,91227.4,25990.47,222,21999.79,,,
796,2020,6,23,97592.37,540,66661.71,29383.25,258,24587.47,,,
797,2020,6,22,128269,751,93447.27,33952.33,259,26609.47,,,
798,2020,6,21,16227.87,42,4631.43,0,0,0,,,
799,2020,6,20,18768.59,37,5115.38,5935.04,55,5463.43,,,
800,2020,6,19,109010.48,684,80481.5,32579.17,244,23935.53,,,
801,2020,6,18,118738.61,666,85157.08,26712.73,218,20073.55,,,
802,2020,6,17,163108.21,972,120395.77,26559.73,230,22929.5,,,
803,2020,6,16,117344.8,739,90343.07,27282.94,235,22306.39,,,
804,2020,6,15,160884.4,1105,134951.62,32665.63,245,22712.31,,,
805,2020,6,14,25128.38,46,4929.93,0,,,,,
806,2020,6,13,17949.21,48,5268.58,4989.03,50,4549.05,,,
807,2020,6,12,108861.29,695,84475.05,42333.48,275,27930.4,,,
808,2020,6,11,132182.9,896,106422.84,29160.09,241,24269.52,,,
809,2020,6,10,116988.58,715,89676.49,27274.01,231,22985.28,,,
810,2020,6,9,131559.61,814,102437.14,28980.41,261,24661.06,,,
