序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
92,2022,7,12,124140.76,757,100444.15,84446.93,841,76672.03,,,
93,2022,7,11,169293.11,958,130065.71,100786.24,936,87509.04,,,
94,2022,7,10,14297.42,7,617.8,,,,,,
95,2022,7,9,17070.67,3,272.25,9760.6,92,8941.63,,,
96,2022,7,8,119130.55,739,97949,83226.91,777,73949.08,,,
97,2022,7,7,120712.09,730,98752.31,86723.49,824,78705.95,,,
98,2022,7,6,75149.86,411,52255.21,82688.09,804,74456.21,,,
99,2022,7,5,114884.37,549,71797.67,80676.59,786,72217.46,,,
100,2022,7,4,128119.16,733,100433.16,92407.26,934,84962.77,,,
101,2022,7,3,12786.09,6,932.31,,,,,,
102,2022,7,2,9915.21,11,1093.87,9009.63,88,8338.85,,,
103,2022,7,1,48473.83,230,27956.67,72895.88,716,67188.56,,,
104,2022,6,30,97547.11,531,67804.28,84086,830,76313.77,,,
105,2022,6,29,103593.74,589,76671.79,84565.76,780,76548.7,,,
106,2022,6,28,115701.43,650,83942.98,83792.73,833,76800.65,,,
107,2022,6,27,163020.83,831,110501.15,108638.76,1052,99716.97,,,
108,2022,6,26,23566.54,111,14337.06,,,,,,
109,2022,6,25,33701.83,185,23511.11,13162.9,128,12195.23,,,
110,2022,6,24,182923.68,1061,139605.89,85049.57,731,71579.58,,,
111,2022,6,23,84058.25,506,62198.27,84059.66,846,78263.66,,,
113,2022,6,22,114551.87,457,58800.36,90282.92,818,79037.41,,,
114,2022,6,21,97475.87,463,59596.74,90926.86,887,83516.52,,,
115,2022,6,20,129844.23,727,98179.08,96357.17,970,89551.92,,,
116,2022,6,19,13251.17,5,518.38,61.86,1,61.86,,,
117,2022,6,18,23232.59,14,1447.74,7828.13,69,6777.09,,,
118,2022,6,17,84616.61,454,59014.36,87367.53,875,81767.38,,,
119,2022,6,16,113863.99,636,84135.17,90072.89,857,81109.01,,,
120,2022,6,15,99628.29,519,68447.27,92760.99,860,10311.28,,,
121,2022,6,14,82113.35,427,54580.47,92624.03,897,83082.99,,,
122,2022,6,13,99967.19,553,69195.43,88453.14,871,82163.14,,,
123,2022,6,12,5225.82,7,704.48,,,,,,
124,2022,6,11,5995.9,9,907.05,10671.38,88,8984.33,,,
125,2022,6,10,111408.1,684,89088.49,76027.91,735,69294.92,,,
126,2022,6,9,86353.15,458,57472.11,83450.14,755,70148.04,,,
127,2022,6,8,111941.12,641,79481.08,73312.33,702,64696.43,,,
128,2022,6,7,1120980.75,812,90552.01,65969.63,576,55125.49,,,
129,2022,6,6,109664.14,612,79666.1,67056.59,616,59372.73,,,
130,2022,6,5,9531.17,15,1822.44,0,,,,,
131,2022,6,4,5304.01,7,719.83,0,,,,,
132,2022,6,3,9780.63,42,4428.59,0,,,,,
133,2022,6,2,113373.22,481,65970.23,50866.54,480,45358.17,,,
134,2022,6,1,46904.03,225,29625.22,45941.07,440,42026.27,,,
135,2022,5,31,126977.79,715,88960.95,50422.6,467,44445.04,,,
136,2022,5,30,134230.68,806,97980.9,71214.46,613,59996.95,,,
137,2022,5,29,10542.74,3,330.65,,,,,,
138,2022,5,28,17876.24,24,2444.5,6571.71,57,5354.47,,,
139,2022,5,27,134151.34,456,55678.28,60275.45,540,50015.56,,,
140,2022,5,26,146015.66,559,71562.05,55542.65,524,50331.08,,,
141,2022,5,25,106431.61,604,75164.14,50092.89,417,39310.99,,,
142,2022,5,24,80837.42,396,49765.78,72887.22,669,62179.79,,,
143,2022,5,23,170158.23,581,73242.58,79154.63,768,71784.07,,,
144,2022,5,22,5140.24,4,457.06,,,,,,
145,2022,5,21,8858.1,11,1098.11,8760.46,77,7826.37,,,
146,2022,5,20,121187.68,715,89635.27,67122.25,640,60092.41,,,
147,2022,5,19,79778.41,293,37938.57,58113.21,580,52088.35,,,
148,2022,5,18,91975.8,463,59621.51,61905.19,603,56353.42,,,
149,2022,5,17,79207.89,420,51751.79,61138.8,570,53852.58,,,
150,2022,5,16,132869.95,744,97517.01,74373.76,692,63589.85,,,
151,2022,5,15,10198.38,4,474.88,,,,,,
152,2022,5,14,27589.39,9,1163.25,12319.63,112,11438.3,,,
153,2022,5,13,130201,671,48196.08,67142.56,634,61107.94,,,
154,2022,5,12,104876.23,542,68368.93,68793.59,678,63624.23,,,
155,2022,5,11,65662.19,359,46497.21,58064.47,566,50884.69,,,
156,2022,5,10,106011.83,608,70909.13,66418.04,655,59191.51,,,
157,2022,5,9,105098.2,544,69073.37,74413.3,675,63747.33,,,
158,2022,5,8,11174.83,12,1211.56,,,,,,
159,2022,5,7,111349.13,566,72121.23,63122.39,556,52065.33,,,
160,2022,5,6,74894.59,389,46857.78,70514.97,713,64972.37,,,
161,2022,5,5,102572.54,466,59953.88,71260.01,640,60594.56,,,
162,2022,5,4,16152.21,108,12480.15,,,,,,
163,2022,5,3,6433.12,0,0,5,3,,,,
164,2022,5,2,23757.68,5,545.26,,,,,,
165,2022,5,1,4607.91,10,972.93,,,,,,
166,2022,4,30,15662.05,11,1424.05,,,,,,
167,2022,4,28,134331.31,689,81846.75,60485.51,569,54715.15,,,
168,2022,4,27,136071.77,734,85305.9,59975.83,548,51357.36,,,
169,2022,4,26,112912.01,527,67684.86,76395.02,745,68579.02,,,
170,2022,4,25,117450.63,450,57413.56,70159.2,633,58378.82,,,
171,2022,4,24,99151.13,570,75218.85,72548.55,699,65329.15,,,
172,2022,4,23,40501.27,173,24052.41,,,,,,
173,2022,4,22,103577.94,569,74918.46,74589.71,715,66813.89,,,
174,2022,4,20,140966.04,711,84584.45,59793.98,584,53513.03,,,
175,2022,4,19,95634.52,491,61132.36,63409.13,602,55140.3,,,
176,2022,4,18,133561.55,679,89173.33,70807.79,664,61152.58,,,
177,2022,4,17,33835.86,200,23010.07,,,,,,
178,2022,4,16,31049.21,11,1023.14,10080.65,94,8906.88,,,
179,2022,4,15,87767.38,452,58361.4,62814.62,602,56683.34,,,
180,2022,4,14,96298.83,550,70117.31,68408.66,638,59287.02,,,
181,2022,4,13,118808.67,566,70076.21,68445.63,666,62724.45,,,
182,2022,4,12,92367.47,486,61149.21,62592.55,593,55649.29,,,
183,2022,4,11,115537.81,677,86043.93,80809.83,805,72624.72,,,
184,2022,4,10,52201.64,7,785.78,,,,,,
185,2022,4,9,11660.76,9,889.11,8599.73,73,7481.25,,,
186,2022,4,8,75179.43,338,42796.04,49482.49,457,42491.34,,,
187,2022,4,7,117836.17,643,81616.66,60036,587,54421.7,,,
188,2022,4,6,127091.59,743,100312.11,60685.16,592,55213.02,,,
189,2022,4,5,11374.92,13,1625.59,0,0,0,,,
